property_id,full_address,beds,baths,year_built,sq_ft_interior,sq_ft_lot,price,price_label,lat,long,img_url,zip_code
31777984,1003 N HENRY ST LANCASTER TX 75146,3,1.0,1957,988,7802,175502,Redfin Estimate,32.6013817,-96.7551495,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1003+N+Henry+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=UoW6ul0Zfv_fdOa-891IMAVZD28='],75146
31777954,127 OAK ST LANCASTER TX 75146,2,1.0,1949,837,7501,152784,Redfin Estimate,32.6022936,-96.7553587,['https://ssl.cdn-redfin.com/photo/90/mbphoto/297/genMid.12024297_1.jpg'],75146
30755424,527 BRANCHWOOD DR LANCASTER TX 75146,3,2.0,2004,2057,10049,300496,Redfin Estimate,32.5936102,-96.7810844,['https://ssl.cdn-redfin.com/photo/90/mbphoto/903/genMid.14366903_0.jpg'],75146
31786329,648 RUTGERS DR LANCASTER TX 75134,3,2.0,1961,1998,7309,251663,Redfin Estimate,32.6139863,-96.7676137,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=648+Rutgers+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=BQyg72Vfvf3dlFImIjfp0pLsJac='],75134
31787976,858 STANFORD DR LANCASTER TX 75134,3,1.5,1971,1136,6935,223861,Redfin Estimate,32.6149893,-96.7734702,['https://ssl.cdn-redfin.com/photo/90/mbphoto/363/genMid.13573363_0.jpg'],75134
31787906,886 LEXINGTON DR LANCASTER TX 75134,4,2.0,1970,1154,84491390,3303453,Redfin Estimate,32.6140752,-96.7749344,['https://ssl.cdn-redfin.com/photo/90/mbphoto/360/genMid.10293360_0.jpg'],75134
31787783,2661 HARTFORD LN LANCASTER TX 75134,3,2.0,1983,1404,8398,246142,Redfin Estimate,32.6183952,-96.772257,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=2661+Hartford+Ln%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=haPevQptDWmX0dLunrFXQ2NC7DE='],75134
30755343,1282 LONG BRANCH DR LANCASTER TX 75146,3,2.0,2005,2251,7261,317349,Redfin Estimate,32.5944574,-96.779641,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1282+Long+Branch+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=O9arj8RtOluTN4hWuiGuLSXjuoE='],75146
31801814,511 W 6TH ST LANCASTER TX 75146,4,2.0,1956,1443,30675,274433,Redfin Estimate,32.5982851,-96.7625539,['https://ssl.cdn-redfin.com/photo/90/mbphoto/541/genMid.14490541_0.jpg'],75146
31776476,447 S DALLAS AVE LANCASTER TX 75146,5,2.5,1974,2676,31799,288773,Redfin Estimate,32.587691,-96.7571152,['https://ssl.cdn-redfin.com/photo/90/mbphoto/824/genMid.12065824_1.jpg'],75146
31798644,1256 CYPRESS LN LANCASTER TX 75146,3,2.0,1997,1484,8808,256173,Redfin Estimate,32.5935844,-96.779118,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1256+Cypress+Ln%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=yb_UNQ1Im38IWx8HcmpL9nI067c='],75146
188125921,1824 ZEUS DR LANCASTER TX      ,4,3.0,2022,1837,6599,372802,Redfin Estimate,32.6093122,-96.7990169,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=1824+Zeus+Dr%2C+Lancaster%2C+TX+75134&size=665x441&source=outdoor&client=gme-redfin&signature=IoeRf-g9PyaFFfZ0rArGru9wBsY='],     
31776529,212 W 8TH ST LANCASTER TX 75146,3,2.0,1945,1152,8298,229094,Redfin Estimate,32.5997649,-96.7585973,['https://ssl.cdn-redfin.com/photo/90/mbphoto/980/genMid.20065980_0.jpg'],75146
30755014,331 FRANCIS ST LANCASTER TX 75146,3,2.0,2003,1568,11800,257026,Redfin Estimate,32.5942378,-96.7604612,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=331+Francis+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=4CSqcA1VWl4ck6FZrC2nzk42ALQ='],75146
31780970,1464 BROOK MEADOW CIR LANCASTER TX 75134,3,2.0,1983,1140,4465,292754,Redfin Estimate,32.608119,-96.789266,['https://ssl.cdn-redfin.com/photo/90/mbphoto/839/genMid.11263839_2.jpg'],75134
31801750,556 W 5TH ST LANCASTER TX 75146,3,1.0,1950,1067,18748,195348,Redfin Estimate,32.5962797,-96.7642047,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=556+W+5th+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=NBsidh_vJhmKtg-lAuC4u7rjM1c='],75146
31790225,883 BIRCHWOOD DR LANCASTER TX 75146,3,2.0,1971,1777,11138,286916,Redfin Estimate,32.601757,-96.7743069,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=883+Birchwood+Dr%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=nwNU-RH1XzPy5AlA_9l-NOOjA3o='],75146
31776345,130 S STEWART AVE LANCASTER TX 75146,4,3.0,1968,2222,10799,285918,Redfin Estimate,32.5911226,-96.7615696,['https://ssl.cdn-redfin.com/photo/90/mbphoto/251/genMid.13546251_0.jpg'],75146
31776456,536 GRIFFIN ST LANCASTER TX 75146,3,2.5,2007,1940,10890,306336,Redfin Estimate,32.5947307,-96.7635563,['https://maps.googleapis.com/maps/api/streetview?channel=mb-pdp-publicrecord&location=536+Griffin+St%2C+Lancaster%2C+TX+75146&size=665x441&source=outdoor&client=gme-redfin&signature=VKZjgxQ2euRBfToWEAMz35VzQyk='],75146
31782768,590 W HAMMOND  LANCASTER TX 75146,2,1.5,1950,1108,11927,194895,Redfin Estimate,32.600889,-96.7659405,['https://ssl.cdn-redfin.com/photo/90/mbphoto/009/genMid.10734009_0.jpg'],75146
30734693,2953 MONTICELLO LN LANCASTER TX 75134,4,2.0,2002,2084,6652,311670,Redfin Estimate,32.6253353,-96.8024258,['https://ssl.cdn-redfin.com/photo/90/mbphoto/512/genMid.14758512_0.jpg'],75134
32254408,2469 MEADOWGATE LN LANCASTER TX 75134,4,2.0,2002,1966,6721,291617,Redfin Estimate,32.6221319,-96.8047695,['https://ssl.cdn-redfin.com/photo/90/mbphoto/147/genMid.13644147_3.jpg'],75134
31782912,630 PIERSON ST LANCASTER TX 75146,2,1.0,1925,472,9592,102890,Redfin Estimate,32.5963473,-96.7496397,['https://ssl.cdn-redfin.com/photo/90/mbphoto/319/genMid.13748319_0.jpg'],75146
